============================================================================
Killed Units: 244
Td    ID    Tj    Df    Dd    Db    
4     15    18    

Earth Df/Db%: 20
Earth Dd/Db%: 80
============================================================================
Total Alien Army Units Alive: 
AS    AM    AD    
6     0     0     

Percentage Of Destructed Alien Units Relative To Their Total: 
AS    AM    AD    
94    100   100   

Percentage Of Total Destructed Alien units Relative To Total Alien Units: 97

Average of Df,Dd & Db for Alien Units: 
DfAVG DdAVG DbAVG 
2     9     11    

Alien Df/Db%: 17
Alien Dd/Db%: 83
============================================================================
